,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,combinationDrug_label,negGeProDr_label,firstLine,acceleratedApproval,acceleratedApprovalRate,metastatic
38,*,Nivolumab,Gastric (stomach) cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,
39,MSI-H,Nivolumab,Colorectal cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,,,Yes,Yes,Yes
40,*,Nivolumab,Colorectal cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,Yes,Yes,
41,*,Nivolumab,Esophageal cancer or gastroesophageal junction adenocarcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,
42,*,Avelumab,Renal cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate",44087-3535-1,axitinib,,Yes,,,
43,*,Avelumab,Merkel cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate",44087-3535-1,,,,Yes,Yes,Yes
44,*,Avelumab,Merkel cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate",44087-3535-1,,,,Yes,Yes,
45,*,Avelumab,Urothelial carcinoma,"BAVENCIO- avelumab injection, solution, concentrate",44087-3535-1,,,,,,Yes
46,*,Pembrolizumab,Squamous cell carcinoma of the head and neck,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
47,PD-L1,Pembrolizumab,Urothelial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,Yes
48,CPS ≥10,Pembrolizumab,Urothelial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,Yes
49,*,Pembrolizumab,Urothelial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
50,*,Pembrolizumab,Urothelial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,Yes
51,*,Pembrolizumab, gastroesophageal junction cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
52,*,Pembrolizumab,gastroesophageal junction adenocarcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
53,*,Pembrolizumab,Merkel cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,Yes
54,*,Pembrolizumab,Merkel cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
55,*,Pembrolizumab,Melanoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,Yes
56,*,Pembrolizumab,Melanoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
57,*,Pembrolizumab,Hepatocellular carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
58,PD-L1,Pembrolizumab,Cervical cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,Yes
59,CPS ≥1,Pembrolizumab,Cervical cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,Yes
60,*,Pembrolizumab,Cervical cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
61,*,Pembrolizumab,Primary mediastinal large B-cell lymphoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
62,*,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
63,EGFR,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","pemetrexed, platinum","EGFR, ALK genomic",,Yes,Yes,
64,ALK genomic,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","pemetrexed, platinum","EGFR, ALK genomic",,Yes,Yes,
65,*,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","paclitaxel, carboplatin",,,Yes,Yes,
66,TPS,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
67,EGFR,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
68,ALK genomic,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
69,≥1,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
70,PD-L1,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
71,PD-L1,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
72,TPS ≥1,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
73,TPS,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
74,EGFR,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
75,ALK genomic,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
76,*,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","FU, fluorouracil, platinum",,,Yes,Yes,
77,≥1,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
78,CPS ≥10,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
79,MSI-H,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
80,*,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,MSI-H,,Yes,Yes,
81,*,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",trastuzumab,,,Yes,Yes,
82,CPS ≥1,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
83,*,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",axitinib,,,Yes,Yes,
84,MSI-H,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",lenvatinib,MSI-H,,Yes,Yes,
85,mut/Mb,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
86,≥10 mutations/megabase,Pembrolizumab,Breast cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
87,*,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
88,EGFR,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","pemetrexed, platinum","EGFR, ALK genomic",,Yes,Yes,
89,ALK genomic,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","pemetrexed, platinum","EGFR, ALK genomic",,Yes,Yes,
90,*,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","paclitaxel, carboplatin",,,Yes,Yes,
91,TPS,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
92,EGFR,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
93,ALK genomic,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
94,≥1,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
95,PD-L1,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,Yes,Yes,
96,PD-L1,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
97,TPS ≥1,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
98,TPS,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
99,EGFR,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
100,ALK genomic,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
101,*,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","FU, fluorouracil, platinum",,,Yes,Yes,
102,≥1,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
103,CPS ≥10,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
104,MSI-H,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
105,*,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,MSI-H,,Yes,Yes,
106,*,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",trastuzumab,,,Yes,Yes,
107,CPS ≥1,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
108,*,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",axitinib,,,Yes,Yes,
109,MSI-H,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",lenvatinib,MSI-H,,Yes,Yes,
110,mut/Mb,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
111,≥10 mutations/megabase,Pembrolizumab,Solid tumors,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
112,*,Pembrolizumab,Gastric (stomach) cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
113,MSI-H,Pembrolizumab,Endometrial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",lenvatinib,MSI-H,,Yes,Yes,
114,*,Pembrolizumab,Endometrial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,Yes,Yes,
115,*,Pembrolizumab,Classic Hodgkin lymphoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
116,EGFR,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","pemetrexed, platinum","EGFR, ALK genomic",Yes,,,
117,ALK genomic,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","pemetrexed, platinum","EGFR, ALK genomic",Yes,,,
118,*,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02","paclitaxel, carboplatin",,,,,
119,TPS,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,,,
120,EGFR,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,,,
121,ALK genomic,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,,,
122,≥1,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,,,
123,PD-L1,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,"EGFR, ALK genomic",,,,
124,PD-L1,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
125,TPS ≥1,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
126,TPS,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
127,EGFR,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
128,ALK genomic,Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","0006-3026-01, 0006-3026-02, 0006-3026-04, 0006-3029-01, 0006-3029-02",,,,,,
